user,date,text,favorite_count,busqueda
Gallo_AA,Fri Oct 16 16:59:12 +0000 2020,@marcepatch @BBVAInnovation @BBVA_Mex @TereMartinH @ceci_abru @ivanromix @ddelolmomx @Rache_Conti @lopezmoctezuma… https://t.co/6Ts6v0wiKb,2,busqueda
KenBonifay,Fri Oct 16 16:53:03 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/4eQ2JBhHWK https://t.co/faxhK93I1f,0,busqueda
salarconurraca,Fri Oct 16 16:51:51 +0000 2020,RT @TomasaRodrigo: It was a pleasure to participate in such an amazing ECB workshop about tracking the economy with high-frequency data to…,0,busqueda
Inn_Fin_Grp,Fri Oct 16 16:25:53 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/Qn2eCbR3PN @BankInnovation Fintech @Inn_Fin_Grp,0,busqueda
MonetaTrade,Fri Oct 16 16:25:33 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summithttps://www.trademoneta.com/bbvas-rueda-to-speak-at-banking-autom… https://t.co/2C22TRYzHV,0,busqueda
iheartfintech,Fri Oct 16 16:23:43 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/snqqI7UEfr,0,busqueda
BankInnovation,Fri Oct 16 16:20:45 +0000 2020,BBVA's Rueda to speak at Banking Automation Summit - https://t.co/jjzt84bQ0x https://t.co/M2wEScw0GQ,0,busqueda
bbva,Fri Oct 16 16:15:09 +0000 2020,#HackathonBBVA 2020 is here! 🙌 The teams will have 40 uninterrupted hours to solve one of the 12 programming challe… https://t.co/VrzZ3b4Pzb,7,busqueda
JohannaKoeb,Fri Oct 16 16:12:15 +0000 2020,RT @UNEP_FI: If panelists had one wish: @aballabriga @bbva -  mandatory disclosure; Tom Delay @thecarbontrust - sustainable Asian infrastru…,0,busqueda
BBVABancaRespon,Fri Oct 16 16:00:45 +0000 2020,"🌱@BBVA_USA has unveiled its second product geared towards environmental sustainability, announcing a rate discount… https://t.co/m1wgX9PlpY",0,busqueda
bbvaedufin,Fri Oct 16 16:00:12 +0000 2020,📹5 Fundamental Concepts Behind Financial Planning https://t.co/lvYC2ws8DE via @A_Lusardi,4,busqueda
KyleSGibson,Fri Oct 16 15:41:20 +0000 2020,@colingplatt BBVA branch in Miami opened an account for two bros that also happened to own a casino/drug front operation in Guatemala..,1,busqueda
Fernand34953952,Fri Oct 16 15:33:39 +0000 2020,RT @bbvaOpenMind: The fourth revolution involves the introduction of robots and #AI 🤖 into the world of work and the polarisation of employ…,0,busqueda
stratorob,Fri Oct 16 15:31:00 +0000 2020,"Here our overview of the Top 10 Digital Banks. Congrats to all. https://t.co/p2dKz9R2S2 

@americanexpress @bni… https://t.co/0Za2kfz9Wx",3,busqueda
TomasaRodrigo,Fri Oct 16 15:26:25 +0000 2020,It was a pleasure to participate in such an amazing ECB workshop about tracking the economy with high-frequency dat… https://t.co/ubtyek0hnz,4,busqueda
RooseveltMadeit,Fri Oct 16 15:25:45 +0000 2020,I like BBVA cause they instant,1,busqueda
GODRadio1,Fri Oct 16 15:05:14 +0000 2020,"BBVA is hosting a Virtual Debt Management Workshop on Oct 17 @11am. Check flyer for more details.
#BBVA… https://t.co/PfGrWuhLTZ",0,busqueda
BBVANews_USA,Fri Oct 16 15:05:05 +0000 2020,".@BBVA_USA unveils its second product geared towards environmental #sustainability, announcing a .75% rate discount… https://t.co/ahAB4nv1hG",0,busqueda
bbvaOpenMind,Fri Oct 16 15:00:45 +0000 2020,The fourth revolution involves the introduction of robots and #AI 🤖 into the world of work and the polarisation of… https://t.co/3mSG2TlG0L,1,busqueda
financesfriends,Sat Oct 17 14:30:00 +0000 2020,Don't let changing interest rates deter you from keeping your emergency fund accessible and at hand. Just the other… https://t.co/699cudJqk3,2,busqueda
nitanan1,Sat Oct 17 14:29:45 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,busqueda
cliffordanglade,Sat Oct 17 14:25:50 +0000 2020,"@JuddPDeere45 @cyber @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/VixcB2DCG2",0,busqueda
jacnicolegarcia,Sat Oct 17 14:22:12 +0000 2020,My experience with @BBVA_USA has sucked so bad I’ll just stick with Wells Fargo or switch to Chime 🤦🏻‍♀️🤦🏻‍♀️,0,busqueda
RickVargas82,Sat Oct 17 14:19:51 +0000 2020,"Someone tried frauding my account yesterday smh, I was mad at @bbva for locking my card, but it was for my protecti… https://t.co/8xvoNWuUeO",0,busqueda
over50panther,Sat Oct 17 14:16:04 +0000 2020,"@911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West… https://t.co/rRtzGC0AaK",4,busqueda
Kimo_1z,Sat Oct 17 13:57:32 +0000 2020,@BaffyDaPundit Me not knowing the coach for gatefe doesn’t change the quality of the liga bbva. I don’t know the coach for Brighton either,0,busqueda
shortvolumes,Sat Oct 17 11:18:01 +0000 2020,Short sale vol (not short interest) for $SAN on 2020-10-16 is 48%. https://t.co/ng9JXdFIv4 $BSAC 78% $BSMX 71% $BBVA 39% $ITUB 72%,0,busqueda
CTMfile,Sat Oct 17 11:05:39 +0000 2020,RT @CTMfile: Industry roundup: 16 October: #SWIFTgpi #BusinessBanking #TradeFinance @bbva @DeutscheBank @network_polo #BBVA #DeutscheBank #…,0,busqueda
angeldelmu,Sat Oct 17 10:19:56 +0000 2020,"RT @pacsta11: Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",0,busqueda
pacsta11,Sat Oct 17 10:17:00 +0000 2020,"Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",1,busqueda
bbvaedufin,Sat Oct 17 10:00:17 +0000 2020,📔 New study selected by #BBVAEduFin 👉🏼It’s Time to Tie Bank Profits to Customers’ Financial Health by… https://t.co/YjUFVzZ3I8,1,busqueda
alvaroortiz1968,Sat Oct 17 09:33:15 +0000 2020,Turkey´s GDP : Going and going ... Turkey´s CBRT Survey of Expectations (the most reliable) upgrade again GDP expec… https://t.co/mmKm01kfEn,11,busqueda
BenotGaudet1,Sat Oct 17 09:18:14 +0000 2020,"RT @abhibheem: #Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists #Maltablockchai…",0,busqueda
BBVAInnovation,Sat Oct 17 08:28:13 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,busqueda
jimenayolanda,Sat Oct 17 08:03:59 +0000 2020,"RT @BBVAPrensa: 🔈 The #HackathonBBVA 2020 has attracted a total of 3,544 candidates so far, of which 792 made the final cut. From Oct.16-18…",0,busqueda
MirandaMish,Sat Oct 17 07:40:56 +0000 2020,@Soyfurrr Bancomer @BBVA_Mex,0,busqueda
CamFinTechUru,Sat Oct 17 07:39:04 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/VNm90lhzBk https://t.co/HNI1E2H2KY,0,busqueda
_Data_Science,Sat Oct 17 07:26:05 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/DWcxYdAwMT,0,busqueda
dhfull50,Sat Oct 17 06:32:54 +0000 2020,"RT @over50panther: @Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigators…",0,busqueda
StationDynamo,Sat Oct 17 04:17:13 +0000 2020,Wow. A lot to unpack here...so I think I’m going to hold judgement until I see a better photo but a crest change ai… https://t.co/H1Y11PfYx8,9,busqueda
cliffordanglade,Sat Oct 17 04:13:24 +0000 2020,"@MarkMeadows @FBIWFO @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/R3oAENLHJ4",0,busqueda
GODRadio1,Sat Oct 17 04:08:37 +0000 2020,Now Playing BBVA Financial Literacy Series - BBVA Financial Literacy Series,0,busqueda
abhibheem,Sat Oct 17 04:01:33 +0000 2020,"#Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists… https://t.co/0pfv7nVOki",0,busqueda
LiveFree_76,Sat Oct 17 03:46:35 +0000 2020,"“In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigations into a local drug gang determined… https://t.co/VZPIsSEyJN",1,busqueda
Going_Digital30,Sat Oct 17 02:27:46 +0000 2020,Almost 800 hackers will compete in BBVA Hackathon 2020 https://t.co/ZQFk8Un9tI #hackathonbbva,0,busqueda
businessnetwor5,Sat Oct 17 02:17:09 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit #Banking via https://t.co/uXU6Z01Ol3 https://t.co/6CZmDEn5hq,0,busqueda
Bixtra,Sat Oct 17 02:12:21 +0000 2020,"RT @GODRadio1: BBVA is hosting a Virtual Debt Management Workshop on Oct 17 @11am. Check flyer for more details.
#BBVA #FinancialLiteracy #…",0,busqueda
411emilio,Sat Oct 17 01:42:25 +0000 2020,RT @bbvaOpenMind: Optical illusions have kept scientists busy trying to work out whether the key to the effect lies in our vision or in our…,0,busqueda
shortvolumes,Sat Oct 17 01:36:01 +0000 2020,Short sale volume (not short interest) for $BBD on 2020-10-16 is 53%. https://t.co/bolKnM70B7 $BCH 53% $HSBC 65% $RY 65% $BBVA 39%,0,busqueda
SantchiWeb,Sat Oct 17 01:10:53 +0000 2020,RT @ShopperMedia: BBVA’s Rueda to speak at Banking Automation Summit https://t.co/PIjI4Q7B47 https://t.co/VY8yBs3Qie,0,busqueda
ShopperMedia,Sat Oct 17 01:10:03 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/PIjI4Q7B47 https://t.co/VY8yBs3Qie,0,busqueda
ann_neels,Sat Oct 17 01:09:01 +0000 2020,"RT @over50panther: @Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investigators…",0,busqueda
Lucian2drei,Sat Oct 17 00:52:11 +0000 2020,RT @Finextra: Company announcement: BBVA joins with Swift to test gpi to Faster Payments... https://t.co/HYgUwzzzZN #fintech,0,busqueda
over50panther,Sat Oct 17 00:46:03 +0000 2020,"@Tom_Winter @LincolnsBible @ericgarland “In a 2019 DEA seizure application for BBVA accounts in Tennessee, investig… https://t.co/UM8nTxTksX",5,busqueda
rhbtoday,Sat Oct 17 00:07:01 +0000 2020,"Today In Digital-First Banking: Mizuho Bank, JCB, Fujitsu Will Test Blockchain ID Tech; BBVA ... https://t.co/WALJmV9krw",0,busqueda
JobsBeaumontTX,Fri Oct 16 23:05:05 +0000 2020,JOB: Silsbee TX USA - Personal Banker / Silsbee Main Financial Solutions Consultant I - BBVA USA Californ JOBS BEAU… https://t.co/da9WbPef6w,0,busqueda
amicloudy,Fri Oct 16 23:00:10 +0000 2020,"@BBVA_USA i have wasted my entire lunch break being hung up on by the credit card department... fucking awesome guys, thanks.",0,busqueda
azatampswfc,Fri Oct 16 22:51:25 +0000 2020,@wfcpryman I would hybrid into a bundesliga or Bbva defence,0,busqueda
cliffordanglade,Fri Oct 16 22:43:16 +0000 2020,"@POTUS @robertcobrien @ScottMorrisonMP(Pt10)@Citi,@eBay,@amazon,@Twitter,@bbva,@Microsoft,@Outlook,@SocialSecurity,… https://t.co/WJ4yzg5bRj",0,busqueda
ChartMill,Fri Oct 16 21:37:02 +0000 2020,The technical rating of $BBVA.MC is bad and it also does not present a quality setup at the moment.… https://t.co/ncxG7deKOo,0,busqueda
ChartMill,Fri Oct 16 21:28:03 +0000 2020,The technical rating of $BBVA.MC is bad and it also does not present a quality setup at the moment.… https://t.co/RUgqMMHCbJ,0,busqueda
